date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2017/09/27,201104712.965,6464.0,7343490000.0,457.31,197885000.0,3912.5,1.09161226,
2017/09/28,417428353.036,8802.0,7592000000.0,447.81,300421000.0,3450.0,1.13267958,
2017/09/29,350914387.921,7926.0,7441960000.0,436.77,148725000.0,912.5,1.27726594,
2017/09/30,233164054.812,5755.0,7258880000.0,432.63,150565000.0,162.5,1.25288,
2017/10/01,258617927.069,8445.0,7207770000.0,415.15,164290000.0,7350.0,1.64584862,
2017/10/02,391296489.819,7883.0,6921580000.0,421.19,219590000.0,12125.0,1.25746341999,
2017/10/03,269367890.216,7252.0,7022370000.0,404.18,130247000.0,5462.5,1.2556313,
2017/10/04,182164705.696,4542.0,6729640000.0,358.45,251584000.0,175.0,1.02391342,
2017/10/05,400128013.936,9481.0,5971260000.0,355.75,268341000.0,10600.0,1.89150925,
2017/10/06,472781412.366,8625.0,5926540000.0,363.01,182031000.0,14112.5,2.39906598999,
2017/10/07,357667732.238,6088.0,6062860000.0,360.78,91004000.0,425.0,1.16513426999,
2017/10/08,198168002.807,5044.0,6004940000.0,342.21,203754000.0,1762.5,1.19532024,
2017/10/09,312447507.13,6828.0,5716320000.0,314.16,288075000.0,1337.5,1.58498505,
2017/10/10,443498297.642,9074.0,5224170000.0,321.59,367809000.0,1137.5,1.84858971998,
2017/10/11,282587888.889,8335.0,5341000000.0,314.9,131577000.0,1400.0,2.04591345,
2017/10/12,204790132.16,7284.0,5262390000.0,313.21,262066000.0,1250.0,1.92143734003,
2017/10/13,393417694.144,12256.0,5242630000.0,321.46,288210000.0,6950.0,3.01332509001,
2017/10/14,277391645.785,14947.0,5369720000.0,321.96,164137000.0,11612.5,4.41591041,
2017/10/15,164720175.694,12997.0,5384760000.0,314.95,133385000.0,1175.0,7.54337325001,
2017/10/16,108547950.672,8288.0,5265400000.0,313.64,117797000.0,525.0,2.91138846,
2017/10/17,251843139.695,9968.0,5239520000.0,371.73,1008160000.0,700.0,2.41668296001,
2017/10/18,387195203.285,13193.0,6240990000.0,339.17,477184000.0,387.5,2.74179545001,
2017/10/19,354530089.475,10049.0,5667070000.0,330.81,195578000.0,1187.5,2.56346339999,
2017/10/20,169885252.994,9348.0,5527860000.0,327.44,160204000.0,1437.5,1.77423759001,
2017/10/21,236470804.512,18183.0,5458980000.0,323.36,129938000.0,1500.0,2.11907119,
2017/10/22,162524630.082,9069.0,5405020000.0,331.66,355546000.0,937.5,1.66897923,
2017/10/23,163949982.492,7376.0,5524790000.0,315.6,191558000.0,175.0,1.39896010001,
2017/10/24,175162538.273,9250.0,5278410000.0,326.89,267442000.0,1350.0,2.01424906,
2017/10/25,192077845.142,8717.0,5457720000.0,332.13,151935000.0,1975.0,1.86735472,
2017/10/26,182633675.88,10485.0,5550700000.0,338.2,234967000.0,2150.0,1.98621041,
2017/10/27,221310629.958,9350.0,5655870000.0,367.57,501989000.0,4987.5,1.89708771,
2017/10/28,285620596.448,11743.0,6183520000.0,423.35,781037000.0,14600.0,2.39550734,
2017/10/29,542254476.636,11800.0,7042260000.0,451.92,2002440000.0,15675.0,2.23479461999,
2017/10/30,783243596.689,12962.0,7679000000.0,448.23,796409000.0,1162.5,2.45184143999,
2017/10/31,533235997.39,14855.0,7527260000.0,439.05,343799000.0,912.5,3.254575,
2017/11/01,415201870.117,11353.0,7342250000.0,531.83,1152230000.0,962.5,2.18451816,
2017/11/02,644753624.304,13645.0,8840010000.0,587.22,1632060000.0,1000.0,3.06784607001,
2017/11/03,849614159.408,17751.0,9839760000.0,625.32,1682210000.0,1012.5,3.93366783,
2017/11/04,953479848.802,22425.0,10647200000.0,620.45,1161370000.0,4437.5,4.2538031,
2017/11/05,441325058.371,15077.0,10390900000.0,630.7,816028000.0,3750.0,2.82618354001,
2017/11/06,433136122.728,16958.0,10566600000.0,602.65,794105000.0,2275.0,3.10678128,
